Title,Price,Location,Carpet Area,Status,Floor,Furnishing,Bathrooms,Balconies,Parking,Facing,Image URL,Posted
2 BHK Apartment for Sale in Sarvoday Park Kalyan,₹80 Lac,Sarvoday Park Kalyan,720 sqft,Ready to Move,3 out of 3,Semi-Furnished,2,,,,,Posted:   3 months ago
3 BHK Apartment for Sale in Khadakpada Kalyan,₹1.25 Cr,Khadakpada Kalyan,1360 sqft,Ready to Move,7 out of 7,Unfurnished,3,2,,East,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+",Updated 1 month ago
2 BHK Apartment for Sale in Lal Chowki Kalyan,₹1 Cr,Lal Chowki Kalyan,,Ready to Move,7 out of 7,Unfurnished,2,3,,,,Posted:   3 months ago
2 BHK Apartment for Sale in RAJ KIRTI CHS Sunil Nagar Kalyan,₹80 Lac,RAJ KIRTI CHS Sunil Nagar Kalyan,800 sqft,Ready to Move,6 out of 6,Semi-Furnished,2,4,,,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","Posted:   Jun 25, '24"
3 BHK Apartment for Sale in Bazarpeth Kalyan,₹65 Lac,Bazarpeth Kalyan,1030 sqft,Ready to Move,1 out of 4,Semi-Furnished,3,,,East,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+",Updated 1 month ago
2 BHK Apartment for Sale in Dombivli Kalyan,₹78 Lac,Dombivli Kalyan,,Ready to Move,4 out of 6,Semi-Furnished,2,,,,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+",Updated 1 month ago
2 BHK Apartment for Sale in Bail Bazar Cir Kalyan,₹80 Lac,Bail Bazar Cir Kalyan,1000 sqft,Ready to Move,Ground out of 2,Furnished,3,3,,East,https://img.staticmb.com/mbphoto/property/cropped_images/2023/Jul/28/Photo_h300_w450/68347799_7_1690553726920-572_300_450.jpg,Updated 1 month ago
2 BHK Apartment for Sale in Dombivli Kalyan,₹62 Lac,Dombivli Kalyan,524 sqft,Ready to Move,19 out of 20,Unfurnished,2,2,,,https://img.staticmb.com/mbphoto/property/cropped_images/2024/Feb/04/Photo_h300_w450/71227697_5_MG202401131508361_300_450.jpg,Posted:   3 months ago
2 BHK Apartment for Sale in Shankeshwar Palms Kalyan,₹70 Lac,Shankeshwar Palms Kalyan,,Ready to Move,1 out of 7,Semi-Furnished,2,,,,,"Updated Jun 21, '24"
2 BHK Apartment for Sale in Dombivli Kalyan,₹54 Lac,Dombivli Kalyan,676 sqft,Ready to Move,4 out of 7,Semi-Furnished,2,1,,,,Updated 1 month ago
